soln,region
"[669, 663, 652, 648, 656, 657, 675, 667, 678]",Northern Ireland
"[669, 663, 652, 648, 656, 657, 675, 666, 684]",Northern Ireland
"[669, 663, 652, 648, 656, 658, 673, 665, 678]",Northern Ireland
"[669, 663, 652, 648, 656, 658, 671, 665, 679]",Northern Ireland
"[669, 663, 652, 648, 656, 658, 671, 676, 666]",Northern Ireland
"[669, 663, 652, 648, 654, 672, 682, 665, 678]",Northern Ireland
"[669, 663, 652, 648, 654, 672, 675, 667, 678]",Northern Ireland
"[669, 663, 652, 648, 654, 672, 675, 666, 684]",Northern Ireland
"[669, 663, 652, 648, 654, 683, 673, 666, 675]",Northern Ireland
"[669, 663, 652, 648, 654, 683, 670, 665, 679]",Northern Ireland
"[669, 663, 652, 648, 654, 683, 670, 676, 666]",Northern Ireland
"[669, 663, 652, 648, 655, 658, 683, 665, 679]",Northern Ireland
"[669, 663, 652, 648, 655, 658, 683, 676, 666]",Northern Ireland
"[669, 662, 667, 678, 680, 652, 657, 656, 648]",Northern Ireland
"[669, 662, 667, 678, 680, 652, 657, 647, 681]",Northern Ireland
"[669, 662, 667, 678, 680, 652, 654, 672, 648]",Northern Ireland
"[669, 662, 667, 678, 659, 681, 646, 654, 670]",Northern Ireland
"[669, 662, 667, 678, 659, 681, 646, 655, 658]",Northern Ireland
"[669, 662, 667, 678, 659, 681, 647, 653, 657]",Northern Ireland
"[669, 662, 667, 678, 659, 681, 647, 651, 670]",Northern Ireland
"[669, 662, 667, 678, 659, 648, 672, 650, 658]",Northern Ireland
"[669, 662, 667, 678, 659, 648, 672, 654, 653]",Northern Ireland
"[669, 662, 667, 678, 659, 648, 656, 653, 657]",Northern Ireland
"[669, 662, 667, 678, 659, 648, 656, 651, 670]",Northern Ireland
"[669, 662, 666, 680, 652, 657, 684, 656, 648]",Northern Ireland
"[669, 662, 666, 680, 652, 657, 684, 647, 681]",Northern Ireland
"[669, 662, 666, 680, 652, 654, 648, 672, 684]",Northern Ireland
"[669, 662, 666, 680, 652, 654, 648, 683, 673]",Northern Ireland
"[669, 662, 666, 659, 681, 646, 654, 682, 671]",Northern Ireland
"[669, 662, 666, 659, 681, 646, 654, 670, 684]",Northern Ireland
"[669, 662, 666, 659, 681, 646, 655, 658, 684]",Northern Ireland
"[669, 662, 666, 659, 681, 647, 653, 657, 684]",Northern Ireland
"[669, 662, 666, 659, 681, 647, 651, 682, 671]",Northern Ireland
"[669, 662, 666, 659, 681, 647, 651, 670, 684]",Northern Ireland
"[669, 662, 666, 659, 648, 650, 657, 682, 683]",Northern Ireland
"[669, 662, 666, 659, 648, 650, 658, 672, 684]",Northern Ireland
"[669, 662, 666, 659, 648, 650, 658, 683, 673]",Northern Ireland
"[669, 662, 666, 659, 648, 653, 657, 656, 684]",Northern Ireland
"[669, 662, 666, 659, 648, 653, 654, 672, 684]",Northern Ireland
"[669, 662, 666, 659, 648, 653, 654, 683, 673]",Northern Ireland
"[669, 662, 666, 659, 648, 651, 656, 682, 671]",Northern Ireland
"[669, 662, 666, 659, 648, 651, 656, 670, 684]",Northern Ireland
"[669, 662, 666, 659, 648, 651, 655, 682, 683]",Northern Ireland
