soln,triplet,region
"[28858, 28932, 28351]","[1983, 2029]",Northern Ireland
"[28878, 28388, 28744]","[1983, 2029]",Northern Ireland
"[28878, 28397, 28703]","[1983, 2029]",Northern Ireland
"[28878, 28914, 28746]","[1983, 2029]",Northern Ireland
"[28878, 28391, 28944]","[1983, 2029]",Northern Ireland
"[28878, 28386, 28757]","[1983, 2029]",Northern Ireland
"[28878, 28750, 28910]","[1983, 2029]",Northern Ireland
"[28878, 28786, 28909]","[1983, 2029]",Northern Ireland
"[28878, 28384, 28748]","[1983, 2029]",Northern Ireland
"[28878, 28383, 28792]","[1983, 2029]",Northern Ireland
"[28878, 28381, 28974]","[1983, 2029]",Northern Ireland
"[28878, 28395, 28705]","[1983, 2029]",Northern Ireland
"[28878, 28403, 28701]","[1983, 2029]",Northern Ireland
"[28878, 28969, 28711]","[1983, 2029]",Northern Ireland
"[28878, 28707, 28976]","[1983, 2029]",Northern Ireland
"[28878, 28696, 28987]","[1983, 2029]",Northern Ireland
"[28878, 28393, 28729]","[1983, 2029]",Northern Ireland
"[28878, 28401, 28712]","[1983, 2029]",Northern Ireland
"[28975, 28822, 28351]","[1983, 2029]",Northern Ireland
"[28975, 28590, 28707]","[1983, 2029]",Northern Ireland
"[28975, 28720, 28353]","[1983, 2029]",Northern Ireland
"[28975, 28357, 28718]","[1983, 2029]",Northern Ireland
"[28975, 28377, 28565]","[1983, 2029]",Northern Ireland
"[28975, 28367, 28710]","[1983, 2029]",Northern Ireland
"[28975, 28843, 28354]","[1983, 2029]",Northern Ireland
"[28402, 28565, 28859]","[1983, 2029]",Northern Ireland
"[28402, 28568, 28864]","[1983, 2029]",Northern Ireland
"[28402, 28863, 28701]","[1983, 2029]",Northern Ireland
"[28402, 28698, 28866]","[1983, 2029]",Northern Ireland
"[28402, 28567, 28747]","[1983, 2029]",Northern Ireland
"[28851, 28963, 28351]","[1983, 2029]",Northern Ireland
"[28851, 28357, 28703]","[1983, 2029]",Northern Ireland
"[28851, 28747, 28354]","[1983, 2029]",Northern Ireland
"[28851, 28961, 28565]","[1983, 2029]",Northern Ireland
"[28829, 29004, 28696]","[1983, 2029]",Northern Ireland
"[28829, 28698, 29002]","[1983, 2029]",Northern Ireland
"[28829, 28726, 28961]","[1983, 2029]",Northern Ireland
"[28820, 28357, 28748]","[1983, 2029]",Northern Ireland
"[28820, 28351, 28966]","[1983, 2029]",Northern Ireland
"[28820, 28358, 28747]","[1983, 2029]",Northern Ireland
"[28880, 28364, 28792]","[1983, 2029]",Northern Ireland
"[28880, 28391, 28972]","[1983, 2029]",Northern Ireland
"[28880, 28750, 28579]","[1983, 2029]",Northern Ireland
"[28880, 28786, 28578]","[1983, 2029]",Northern Ireland
"[28880, 28395, 28753]","[1983, 2029]",Northern Ireland
"[28880, 28351, 28976]","[1983, 2029]",Northern Ireland
"[28880, 28366, 28757]","[1983, 2029]",Northern Ireland
"[28880, 28356, 28748]","[1983, 2029]",Northern Ireland
"[28880, 28969, 28575]","[1983, 2029]",Northern Ireland
"[28880, 28361, 28974]","[1983, 2029]",Northern Ireland
"[28880, 28358, 28746]","[1983, 2029]",Northern Ireland
"[28880, 28368, 28744]","[1983, 2029]",Northern Ireland
"[28880, 28393, 28789]","[1983, 2029]",Northern Ireland
"[28953, 28844, 28351]","[1983, 2029]",Northern Ireland
"[28875, 28580, 28696]","[1983, 2029]",Northern Ireland
"[28875, 28357, 28702]","[1983, 2029]",Northern Ireland
"[28875, 28367, 28701]","[1983, 2029]",Northern Ireland
"[28875, 28396, 28698]","[1983, 2029]",Northern Ireland
"[28875, 28704, 28356]","[1983, 2029]",Northern Ireland
"[28394, 28893, 28747]","[1983, 2029]",Northern Ireland
"[28394, 28871, 28704]","[1983, 2029]",Northern Ireland
"[28394, 28855, 28730]","[1983, 2029]",Northern Ireland
"[28394, 29004, 28700]","[1983, 2029]",Northern Ireland
"[28394, 28942, 28864]","[1983, 2029]",Northern Ireland
"[28394, 28863, 28705]","[1983, 2029]",Northern Ireland
"[28394, 28698, 28868]","[1983, 2029]",Northern Ireland
"[28394, 28885, 28703]","[1983, 2029]",Northern Ireland
"[28394, 28768, 28963]","[1983, 2029]",Northern Ireland
"[28394, 28726, 28859]","[1983, 2029]",Northern Ireland
"[28394, 28753, 28865]","[1983, 2029]",Northern Ireland
"[28877, 28565, 28976]","[1983, 2029]",Northern Ireland
"[28877, 28568, 28782]","[1983, 2029]",Northern Ireland
"[28877, 28581, 28703]","[1983, 2029]",Northern Ireland
"[28877, 28579, 28705]","[1983, 2029]",Northern Ireland
"[28877, 28596, 28974]","[1983, 2029]",Northern Ireland
"[28877, 28789, 28909]","[1983, 2029]",Northern Ireland
"[28877, 28570, 28758]","[1983, 2029]",Northern Ireland
"[28877, 28608, 28701]","[1983, 2029]",Northern Ireland
"[28877, 28972, 28711]","[1983, 2029]",Northern Ireland
"[28877, 28575, 28944]","[1983, 2029]",Northern Ireland
"[28877, 28698, 28987]","[1983, 2029]",Northern Ireland
"[28877, 28571, 28746]","[1983, 2029]",Northern Ireland
"[28877, 28607, 28712]","[1983, 2029]",Northern Ireland
"[28877, 28598, 28792]","[1983, 2029]",Northern Ireland
"[28877, 28601, 28744]","[1983, 2029]",Northern Ireland
"[28877, 28569, 28748]","[1983, 2029]",Northern Ireland
"[28877, 28599, 28757]","[1983, 2029]",Northern Ireland
"[28877, 28753, 28910]","[1983, 2029]",Northern Ireland
"[28877, 28578, 28729]","[1983, 2029]",Northern Ireland
"[28993, 28901, 28391]","[1983, 2029]",Northern Ireland
"[28993, 28364, 28771]","[1983, 2029]",Northern Ireland
"[28993, 28903, 28361]","[1983, 2029]",Northern Ireland
"[28993, 28850, 28351]","[1983, 2029]",Northern Ireland
"[28993, 28750, 28577]","[1983, 2029]",Northern Ireland
"[28993, 28756, 28356]","[1983, 2029]",Northern Ireland
"[28993, 28758, 28353]","[1983, 2029]",Northern Ireland
"[28993, 28900, 28575]","[1983, 2029]",Northern Ireland
"[28993, 28757, 28362]","[1983, 2029]",Northern Ireland
"[28993, 28393, 28768]","[1983, 2029]",Northern Ireland
"[28993, 28753, 28374]","[1983, 2029]",Northern Ireland
"[28993, 28578, 28767]","[1983, 2029]",Northern Ireland
"[28793, 28568, 28377]","[1983, 2029]",Northern Ireland
"[28793, 28818, 28357]","[1983, 2029]",Northern Ireland
"[28793, 28844, 28354]","[1983, 2029]",Northern Ireland
"[28999, 28357, 28700]","[1983, 2029]",Northern Ireland
"[28999, 28704, 28353]","[1983, 2029]",Northern Ireland
"[28992, 28939, 28577]","[1983, 2029]",Northern Ireland
"[28992, 28364, 28896]","[1983, 2029]",Northern Ireland
"[28992, 28914, 28587]","[1983, 2029]",Northern Ireland
"[28992, 28363, 28903]","[1983, 2029]",Northern Ireland
"[28992, 28892, 28578]","[1983, 2029]",Northern Ireland
"[28992, 28384, 28901]","[1983, 2029]",Northern Ireland
"[28992, 28378, 28568]","[1983, 2029]",Northern Ireland
"[28992, 28354, 28850]","[1983, 2029]",Northern Ireland
"[28992, 28356, 28895]","[1983, 2029]",Northern Ireland
"[28992, 28374, 28942]","[1983, 2029]",Northern Ireland
"[28992, 28358, 28818]","[1983, 2029]",Northern Ireland
"[28992, 28353, 28930]","[1983, 2029]",Northern Ireland
"[28992, 28900, 28569]","[1983, 2029]",Northern Ireland
"[28992, 28393, 28893]","[1983, 2029]",Northern Ireland
"[28992, 28362, 28918]","[1983, 2029]",Northern Ireland
"[28992, 28373, 28571]","[1983, 2029]",Northern Ireland
"[28992, 28401, 28567]","[1983, 2029]",Northern Ireland
"[28881, 28948, 28575]","[1983, 2029]",Northern Ireland
"[28881, 28579, 28723]","[1983, 2029]",Northern Ireland
"[28881, 28782, 28354]","[1983, 2029]",Northern Ireland
"[28881, 28931, 28351]","[1983, 2029]",Northern Ireland
"[28881, 28789, 28384]","[1983, 2029]",Northern Ireland
"[28881, 28786, 28569]","[1983, 2029]",Northern Ireland
"[28881, 28395, 28726]","[1983, 2029]",Northern Ireland
"[28881, 28570, 28400]","[1983, 2029]",Northern Ireland
"[28881, 28608, 28707]","[1983, 2029]",Northern Ireland
"[28881, 28366, 28713]","[1983, 2029]",Northern Ireland
"[28881, 28403, 28565]","[1983, 2029]",Northern Ireland
"[28881, 28919, 28361]","[1983, 2029]",Northern Ireland
"[28881, 28729, 28356]","[1983, 2029]",Northern Ireland
"[28881, 28792, 28363]","[1983, 2029]",Northern Ireland
"[28881, 28719, 28358]","[1983, 2029]",Northern Ireland
"[28881, 28951, 28391]","[1983, 2029]",Northern Ireland
"[28881, 28712, 28368]","[1983, 2029]",Northern Ireland
"[28745, 28846, 28354]","[1983, 2029]",Northern Ireland
"[28745, 28920, 28362]","[1983, 2029]",Northern Ireland
"[28745, 28580, 28892]","[1983, 2029]",Northern Ireland
"[28745, 28822, 28358]","[1983, 2029]",Northern Ireland
"[28745, 28590, 28914]","[1983, 2029]",Northern Ireland
"[28745, 28404, 28567]","[1983, 2029]",Northern Ireland
"[28745, 28357, 28823]","[1983, 2029]",Northern Ireland
"[28745, 28887, 28356]","[1983, 2029]",Northern Ireland
"[28745, 28377, 28571]","[1983, 2029]",Northern Ireland
"[28745, 28884, 28569]","[1983, 2029]",Northern Ireland
"[28745, 28367, 28896]","[1983, 2029]",Northern Ireland
"[28745, 28396, 28893]","[1983, 2029]",Northern Ireland
"[28745, 28885, 28384]","[1983, 2029]",Northern Ireland
"[28745, 28889, 28363]","[1983, 2029]",Northern Ireland
"[28745, 28932, 28353]","[1983, 2029]",Northern Ireland
"[28385, 28863, 28757]","[1983, 2029]",Northern Ireland
"[28385, 28885, 28744]","[1983, 2029]",Northern Ireland
"[28385, 28753, 28866]","[1983, 2029]",Northern Ireland
"[28776, 28180, 28964]","[2017, 2027]",Northern Ireland
"[28776, 28206, 28476]","[2017, 2027]",Northern Ireland
"[28763, 28305, 28261]","[2017, 2027]",Northern Ireland
"[28763, 28262, 28303]","[2017, 2027]",Northern Ireland
"[28763, 28278, 28301]","[2017, 2027]",Northern Ireland
"[28763, 28869, 28319]","[2017, 2027]",Northern Ireland
"[28763, 28884, 28248]","[2017, 2027]",Northern Ireland
"[28763, 28250, 28862]","[2017, 2027]",Northern Ireland
"[28763, 28870, 28249]","[2017, 2027]",Northern Ireland
"[28763, 28875, 28184]","[2017, 2027]",Northern Ireland
"[28763, 28452, 28209]","[2017, 2027]",Northern Ireland
"[28763, 28185, 28867]","[2017, 2027]",Northern Ireland
"[28763, 28226, 28450]","[2017, 2027]",Northern Ireland
"[28763, 28466, 28225]","[2017, 2027]",Northern Ireland
"[28763, 28995, 28178]","[2017, 2027]",Northern Ireland
"[28763, 28868, 28181]","[2017, 2027]",Northern Ireland
"[28763, 28883, 28183]","[2017, 2027]",Northern Ireland
"[28763, 28210, 28451]","[2017, 2027]",Northern Ireland
"[28763, 28245, 28990]","[2017, 2027]",Northern Ireland
"[28763, 29002, 28241]","[2017, 2027]",Northern Ireland
"[28763, 28459, 28208]","[2017, 2027]",Northern Ireland
"[28763, 28478, 28204]","[2017, 2027]",Northern Ireland
"[28765, 28874, 28181]","[2017, 2027]",Northern Ireland
"[28765, 28465, 28208]","[2017, 2027]",Northern Ireland
"[28765, 28180, 28875]","[2017, 2027]",Northern Ireland
"[28765, 28449, 28210]","[2017, 2027]",Northern Ireland
"[28765, 28206, 28452]","[2017, 2027]",Northern Ireland
"[28890, 28744, 28181]","[2017, 2027]",Northern Ireland
"[28890, 28180, 28745]","[2017, 2027]",Northern Ireland
"[28890, 28206, 28739]","[2017, 2027]",Northern Ireland
"[28801, 28881, 28183]","[2017, 2027]",Northern Ireland
"[28801, 28456, 28208]","[2017, 2027]",Northern Ireland
"[28801, 28299, 28261]","[2017, 2027]",Northern Ireland
"[28801, 28476, 28204]","[2017, 2027]",Northern Ireland
"[28801, 28259, 28303]","[2017, 2027]",Northern Ireland
"[28801, 28854, 28249]","[2017, 2027]",Northern Ireland
"[28801, 28853, 28319]","[2017, 2027]",Northern Ireland
"[28801, 28964, 28178]","[2017, 2027]",Northern Ireland
"[28801, 28961, 28241]","[2017, 2027]",Northern Ireland
"[28801, 28239, 28990]","[2017, 2027]",Northern Ireland
"[28801, 28223, 28450]","[2017, 2027]",Northern Ireland
"[28801, 28859, 28181]","[2017, 2027]",Northern Ireland
"[28801, 28448, 28209]","[2017, 2027]",Northern Ireland
"[28801, 28276, 28301]","[2017, 2027]",Northern Ireland
"[28801, 28858, 28184]","[2017, 2027]",Northern Ireland
"[28760, 28240, 28990]","[2017, 2027]",Northern Ireland
"[28760, 28457, 28208]","[2017, 2027]",Northern Ireland
"[28760, 28300, 28261]","[2017, 2027]",Northern Ireland
"[28760, 28866, 28181]","[2017, 2027]",Northern Ireland
"[28760, 28882, 28183]","[2017, 2027]",Northern Ireland
"[28760, 28224, 28450]","[2017, 2027]",Northern Ireland
"[28760, 28180, 28867]","[2017, 2027]",Northern Ireland
"[28760, 28449, 28209]","[2017, 2027]",Northern Ireland
"[28760, 28206, 28451]","[2017, 2027]",Northern Ireland
"[28967, 28771, 28181]","[2017, 2027]",Northern Ireland
"[28967, 28180, 28772]","[2017, 2027]",Northern Ireland
"[28967, 28206, 28462]","[2017, 2027]",Northern Ireland
"[28795, 28300, 28259]","[2017, 2027]",Northern Ireland
"[28795, 28180, 28881]","[2017, 2027]",Northern Ireland
"[28795, 28206, 28456]","[2017, 2027]",Northern Ireland
"[28749, 28889, 28181]","[2017, 2027]",Northern Ireland
"[28749, 28457, 28210]","[2017, 2027]",Northern Ireland
"[28749, 28300, 28262]","[2017, 2027]",Northern Ireland
"[28749, 28882, 28185]","[2017, 2027]",Northern Ireland
"[28749, 28224, 28466]","[2017, 2027]",Northern Ireland
"[28749, 28465, 28209]","[2017, 2027]",Northern Ireland
"[28749, 28180, 28883]","[2017, 2027]",Northern Ireland
"[28749, 28206, 28459]","[2017, 2027]",Northern Ireland
"[28762, 29006, 28181]","[2017, 2027]",Northern Ireland
"[28762, 28180, 28995]","[2017, 2027]",Northern Ireland
"[28762, 28206, 28478]","[2017, 2027]",Northern Ireland
"[28977, 28879, 28180]","[2017, 2027]",Northern Ireland
"[28977, 28454, 28206]","[2017, 2027]",Northern Ireland
"[28796, 28240, 28964]","[2017, 2027]",Northern Ireland
"[28796, 28449, 28259]","[2017, 2027]",Northern Ireland
"[28796, 28857, 28249]","[2017, 2027]",Northern Ireland
"[28467, 28224, 28745]","[2017, 2027]",Northern Ireland
"[28467, 28744, 28209]","[2017, 2027]",Northern Ireland
"[28467, 28206, 28747]","[2017, 2027]",Northern Ireland
"[28802, 28180, 28858]","[2017, 2027]",Northern Ireland
"[28802, 28857, 28181]","[2017, 2027]",Northern Ireland
"[28802, 28206, 28448]","[2017, 2027]",Northern Ireland
"[28905, 28992, 28180]","[2017, 2027]",Northern Ireland
"[28905, 28474, 28206]","[2017, 2027]",Northern Ireland
"[28797, 28224, 28858]","[2017, 2027]",Northern Ireland
"[28797, 28857, 28209]","[2017, 2027]",Northern Ireland
"[28797, 28206, 28859]","[2017, 2027]",Northern Ireland
"[28247, 28791, 28673]","[1998, 2015]",Northern Ireland
"[28247, 28811, 28790]","[1998, 2015]",Northern Ireland
"[28247, 28616, 28795]","[1998, 2015]",Northern Ireland
"[28247, 28806, 28665]","[1998, 2015]",Northern Ireland
"[28247, 28630, 28944]","[1998, 2015]",Northern Ireland
"[28247, 28631, 28729]","[1998, 2015]",Northern Ireland
"[28247, 28742, 28668]","[1998, 2015]",Northern Ireland
"[28247, 28814, 28754]","[1998, 2015]",Northern Ireland
"[28247, 28633, 28703]","[1998, 2015]",Northern Ireland
"[28247, 28952, 28692]","[1998, 2015]",Northern Ireland
"[28247, 28943, 28694]","[1998, 2015]",Northern Ireland
"[28247, 28619, 28760]","[1998, 2015]",Northern Ireland
"[28247, 28761, 28666]","[1998, 2015]",Northern Ireland
"[28247, 28620, 28749]","[1998, 2015]",Northern Ireland
"[28247, 28755, 28674]","[1998, 2015]",Northern Ireland
"[28247, 28621, 28748]","[1998, 2015]",Northern Ireland
"[28247, 28614, 28977]","[1998, 2015]",Northern Ireland
"[28247, 28815, 28741]","[1998, 2015]",Northern Ireland
"[28247, 28735, 28973]","[1998, 2015]",Northern Ireland
"[28250, 28746, 28621]","[1998, 2015]",Northern Ireland
"[28250, 28741, 28813]","[1998, 2015]",Northern Ireland
"[28250, 28719, 28631]","[1998, 2015]",Northern Ireland
"[28250, 28749, 28618]","[1998, 2015]",Northern Ireland
"[28250, 28806, 28655]","[1998, 2015]",Northern Ireland
"[28250, 28742, 28659]","[1998, 2015]",Northern Ireland
"[28250, 28703, 28632]","[1998, 2015]",Northern Ireland
"[28250, 28619, 28764]","[1998, 2015]",Northern Ireland
"[28250, 28656, 28761]","[1998, 2015]",Northern Ireland
"[28248, 28618, 28760]","[1998, 2015]",Northern Ireland
"[28248, 28811, 28779]","[1998, 2015]",Northern Ireland
"[28248, 28616, 28784]","[1998, 2015]",Northern Ireland
"[28248, 28780, 28673]","[1998, 2015]",Northern Ireland
"[28248, 28630, 28930]","[1998, 2015]",Northern Ireland
"[28248, 28631, 28721]","[1998, 2015]",Northern Ireland
"[28248, 28633, 28702]","[1998, 2015]",Northern Ireland
"[28248, 28943, 28693]","[1998, 2015]",Northern Ireland
"[28248, 28761, 28658]","[1998, 2015]",Northern Ireland
"[28248, 28813, 28754]","[1998, 2015]",Northern Ireland
"[28248, 28805, 28665]","[1998, 2015]",Northern Ireland
"[28248, 28929, 28692]","[1998, 2015]",Northern Ireland
"[28248, 28620, 28764]","[1998, 2015]",Northern Ireland
"[28248, 28755, 28659]","[1998, 2015]",Northern Ireland
"[28248, 28621, 28758]","[1998, 2015]",Northern Ireland
"[28248, 28614, 28983]","[1998, 2015]",Northern Ireland
"[28248, 28800, 28655]","[1998, 2015]",Northern Ireland
"[28248, 28632, 28705]","[1998, 2015]",Northern Ireland
"[28248, 28735, 28980]","[1998, 2015]",Northern Ireland
"[28803, 28607, 28190]","[2031, 2012]",Northern Ireland
"[28803, 28520, 28210]","[2031, 2012]",Northern Ireland
"[28803, 28548, 28199]","[2031, 2012]",Northern Ireland
"[28803, 28978, 28326]","[2031, 2012]",Northern Ireland
"[28761, 28486, 28203]","[2031, 2012]",Northern Ireland
"[28761, 28207, 28508]","[2031, 2012]",Northern Ireland
"[28761, 28326, 28848]","[2031, 2012]",Northern Ireland
"[28761, 28204, 28524]","[2031, 2012]",Northern Ireland
"[28761, 28190, 28591]","[2031, 2012]",Northern Ireland
"[28761, 28588, 28194]","[2031, 2012]",Northern Ireland
"[28761, 28199, 28489]","[2031, 2012]",Northern Ireland
"[28761, 28851, 28186]","[2031, 2012]",Northern Ireland
"[28761, 28514, 28200]","[2031, 2012]",Northern Ireland
"[28761, 28335, 28603]","[2031, 2012]",Northern Ireland
"[28761, 28365, 28507]","[2031, 2012]",Northern Ireland
"[28761, 28210, 28480]","[2031, 2012]",Northern Ireland
"[28805, 28901, 28190]","[2031, 2012]",Northern Ireland
"[28805, 28899, 28326]","[2031, 2012]",Northern Ireland
"[28805, 28512, 28199]","[2031, 2012]",Northern Ireland
"[28805, 28904, 28186]","[2031, 2012]",Northern Ireland
"[28755, 28490, 28199]","[2031, 2012]",Northern Ireland
"[28755, 28592, 28190]","[2031, 2012]",Northern Ireland
"[28755, 28525, 28204]","[2031, 2012]",Northern Ireland
"[28800, 28520, 28204]","[2031, 2012]",Northern Ireland
"[28800, 28484, 28199]","[2031, 2012]",Northern Ireland
"[28800, 28587, 28190]","[2031, 2012]",Northern Ireland
"[28630, 28257, 28837]","[1990, 2065]",Northern Ireland
"[28630, 28855, 28260]","[1990, 2065]",Northern Ireland
"[28630, 28588, 28276]","[1990, 2065]",Northern Ireland
"[28630, 28583, 28964]","[1990, 2065]",Northern Ireland
"[28630, 28587, 28261]","[1990, 2065]",Northern Ireland
"[28630, 28589, 28259]","[1990, 2065]",Northern Ireland
"[28632, 28257, 28743]","[1990, 2065]",Northern Ireland
"[28632, 28264, 28745]","[1990, 2065]",Northern Ireland
"[28632, 28878, 28738]","[1990, 2065]",Northern Ireland
"[28631, 28274, 28588]","[1990, 2065]",Northern Ireland
"[28631, 28836, 28257]","[1990, 2065]",Northern Ireland
"[28631, 28992, 28583]","[1990, 2065]",Northern Ireland
"[28631, 28585, 28261]","[1990, 2065]",Northern Ireland
"[28629, 28743, 28260]","[1990, 2065]",Northern Ireland
"[28629, 28836, 28259]","[1990, 2065]",Northern Ireland
"[28629, 28746, 28258]","[1990, 2065]",Northern Ireland
"[28629, 28745, 28269]","[1990, 2065]",Northern Ireland
"[28629, 28738, 28845]","[1990, 2065]",Northern Ireland
"[28806, 28584, 28259]","[1990, 2065]",Northern Ireland
"[28761, 28835, 28257]","[1990, 2065]",Northern Ireland
"[28761, 28584, 28261]","[1990, 2065]",Northern Ireland
"[28953, 28516, 28765]","[1992, 2028]",Northern Ireland
"[28991, 28593, 28760]","[1992, 2028]",Northern Ireland
"[28991, 28978, 28734]","[1992, 2028]",Northern Ireland
"[28991, 28934, 28753]","[1992, 2028]",Northern Ireland
"[28991, 28603, 28706]","[1992, 2028]",Northern Ireland
"[28992, 28516, 28946]","[1992, 2028]",Northern Ireland
"[28256, 28596, 28977]","[1992, 2028]",Northern Ireland
"[28256, 28789, 28936]","[1992, 2028]",Northern Ireland
"[28256, 28753, 28937]","[1992, 2028]",Northern Ireland
"[28256, 28951, 28764]","[1992, 2028]",Northern Ireland
"[28256, 28734, 28976]","[1992, 2028]",Northern Ireland
"[28256, 28608, 28706]","[1992, 2028]",Northern Ireland
"[28256, 28601, 28749]","[1992, 2028]",Northern Ireland
"[28256, 28607, 28737]","[1992, 2028]",Northern Ireland
"[28256, 28972, 28722]","[1992, 2028]",Northern Ireland
"[28256, 28602, 28748]","[1992, 2028]",Northern Ireland
"[28256, 28610, 28703]","[1992, 2028]",Northern Ireland
"[28256, 28698, 29001]","[1992, 2028]",Northern Ireland
"[28256, 28598, 28795]","[1992, 2028]",Northern Ireland
"[28256, 28599, 28760]","[1992, 2028]",Northern Ireland
"[28256, 28959, 28746]","[1992, 2028]",Northern Ireland
"[28262, 28749, 28519]","[1992, 2028]",Northern Ireland
"[28262, 28740, 28602]","[1992, 2028]",Northern Ireland
"[28262, 28522, 28706]","[1992, 2028]",Northern Ireland
"[28262, 28737, 28520]","[1992, 2028]",Northern Ireland
"[28262, 28703, 28525]","[1992, 2028]",Northern Ireland
"[28261, 28752, 28602]","[1992, 2028]",Northern Ireland
"[28261, 28530, 28799]","[1992, 2028]",Northern Ireland
"[28261, 28525, 28705]","[1992, 2028]",Northern Ireland
"[28261, 28733, 28607]","[1992, 2028]",Northern Ireland
"[28261, 28548, 28734]","[1992, 2028]",Northern Ireland
"[28261, 28697, 28610]","[1992, 2028]",Northern Ireland
"[28261, 28520, 28731]","[1992, 2028]",Northern Ireland
"[28261, 28519, 28760]","[1992, 2028]",Northern Ireland
"[28261, 28798, 28598]","[1992, 2028]",Northern Ireland
"[28261, 28535, 28753]","[1992, 2028]",Northern Ireland
"[28261, 28518, 28946]","[1992, 2028]",Northern Ireland
"[28261, 28551, 28698]","[1992, 2028]",Northern Ireland
"[28261, 28524, 28706]","[1992, 2028]",Northern Ireland
"[28260, 28734, 28971]","[1992, 2028]",Northern Ireland
"[28260, 28972, 28733]","[1992, 2028]",Northern Ireland
"[28260, 28959, 28740]","[1992, 2028]",Northern Ireland
"[28964, 28516, 28731]","[1992, 2028]",Northern Ireland
"[28964, 28545, 28734]","[1992, 2028]",Northern Ireland
"[28964, 28593, 28798]","[1992, 2028]",Northern Ireland
"[28964, 28526, 28799]","[1992, 2028]",Northern Ireland
"[28964, 28603, 28733]","[1992, 2028]",Northern Ireland
"[28995, 28516, 28706]","[1992, 2028]",Northern Ireland
"[28993, 28516, 28760]","[1992, 2028]",Northern Ireland
"[28745, 28516, 28960]","[1992, 2028]",Northern Ireland
"[28257, 28788, 28936]","[1992, 2028]",Northern Ireland
"[28257, 28752, 28937]","[1992, 2028]",Northern Ireland
"[28257, 28530, 28795]","[1992, 2028]",Northern Ireland
"[28257, 28733, 28976]","[1992, 2028]",Northern Ireland
"[28257, 28532, 28760]","[1992, 2028]",Northern Ireland
"[28257, 28548, 28737]","[1992, 2028]",Northern Ireland
"[28257, 28740, 28933]","[1992, 2028]",Northern Ireland
"[28257, 28528, 28977]","[1992, 2028]",Northern Ireland
"[28257, 28697, 29001]","[1992, 2028]",Northern Ireland
"[28257, 28958, 28746]","[1992, 2028]",Northern Ireland
"[28257, 28549, 28706]","[1992, 2028]",Northern Ireland
"[28257, 28535, 28748]","[1992, 2028]",Northern Ireland
"[28257, 28971, 28722]","[1992, 2028]",Northern Ireland
"[28257, 28534, 28749]","[1992, 2028]",Northern Ireland
"[28257, 28950, 28764]","[1992, 2028]",Northern Ireland
"[28257, 28551, 28703]","[1992, 2028]",Northern Ireland
"[28259, 28788, 28602]","[1992, 2028]",Northern Ireland
"[28259, 28525, 28729]","[1992, 2028]",Northern Ireland
"[28259, 28733, 28608]","[1992, 2028]",Northern Ireland
"[28259, 28532, 28799]","[1992, 2028]",Northern Ireland
"[28259, 28522, 28731]","[1992, 2028]",Northern Ireland
"[28259, 28519, 28795]","[1992, 2028]",Northern Ireland
"[28259, 28798, 28599]","[1992, 2028]",Northern Ireland
"[28259, 28549, 28734]","[1992, 2028]",Northern Ireland
"[28259, 28535, 28789]","[1992, 2028]",Northern Ireland
"[28259, 28518, 28955]","[1992, 2028]",Northern Ireland
"[28259, 28524, 28737]","[1992, 2028]",Northern Ireland
"[28206, 28971, 28629]","[2040, 2009]",Northern Ireland
"[28199, 28971, 28628]","[2040, 2009]",Northern Ireland
"[28199, 28623, 28977]","[2040, 2009]",Northern Ireland
"[28975, 28186, 28628]","[2040, 2009]",Northern Ireland
"[28975, 28189, 28629]","[2040, 2009]",Northern Ireland
"[28190, 28972, 28628]","[2040, 2009]",Northern Ireland
"[28190, 28977, 28556]","[2040, 2009]",Northern Ireland
"[28190, 28974, 28629]","[2040, 2009]",Northern Ireland
"[28326, 28968, 28628]","[2040, 2009]",Northern Ireland
"[28761, 28325, 28261]","[2033, 2007]",Northern Ireland
"[28761, 28198, 28991]","[2033, 2007]",Northern Ireland
"[28761, 28355, 28272]","[2033, 2007]",Northern Ireland
"[28806, 28259, 28325]","[2033, 2007]",Northern Ireland
"[28804, 28962, 28199]","[2033, 2007]",Northern Ireland
"[28804, 28964, 28186]","[2033, 2007]",Northern Ireland
"[28804, 28259, 28328]","[2033, 2007]",Northern Ireland
"[28804, 28276, 28326]","[2033, 2007]",Northern Ireland
"[28352, 28749, 28256]","[2033, 2007]",Northern Ireland
"[28742, 28359, 28256]","[2033, 2007]",Northern Ireland
"[28814, 28754, 28280]","[1987, 2023]",Northern Ireland
"[28614, 28905, 28285]","[1987, 2023]",Northern Ireland
"[28614, 28977, 28280]","[1987, 2023]",Northern Ireland
"[28614, 28861, 28287]","[1987, 2023]",Northern Ireland
"[28808, 28754, 28303]","[1987, 2023]",Northern Ireland
"[28808, 28973, 28297]","[1987, 2023]",Northern Ireland
"[28808, 28790, 28299]","[1987, 2023]",Northern Ireland
"[28808, 28741, 28305]","[1987, 2023]",Northern Ireland
"[28770, 28673, 28285]","[1987, 2023]",Northern Ireland
"[28612, 28299, 28795]","[1987, 2023]",Northern Ireland
"[28612, 28297, 28977]","[1987, 2023]",Northern Ireland
"[28612, 28305, 28749]","[1987, 2023]",Northern Ireland
"[28612, 28796, 28448]","[1987, 2023]",Northern Ireland
"[28612, 28854, 28797]","[1987, 2023]",Northern Ireland
"[28612, 28303, 28760]","[1987, 2023]",Northern Ireland
"[28811, 28790, 28280]","[1987, 2023]",Northern Ireland
