soln,region
"[2050, 2033, 2057, 1998, 2005, 1987]",Northern Ireland
"[2050, 2033, 2057, 2019, 1979, 2011]",Northern Ireland
"[2050, 2033, 2057, 2019, 1991, 1987]",Northern Ireland
"[2050, 2033, 2057, 2023, 1978, 2011]",Northern Ireland
"[2050, 2033, 2057, 2023, 1990, 1987]",Northern Ireland
"[2050, 2033, 2057, 2023, 2006, 1980]",Northern Ireland
"[2050, 2033, 2072, 1980, 2004, 2023]",Northern Ireland
"[2050, 2033, 2072, 1985, 2053, 1995]",Northern Ireland
"[2050, 2033, 2072, 1985, 1996, 2023]",Northern Ireland
"[2050, 2033, 2072, 1985, 2013, 1998]",Northern Ireland
"[2050, 2031, 2074, 1995, 2076, 1984]",Northern Ireland
"[2050, 2031, 2074, 1995, 1985, 2058]",Northern Ireland
"[2050, 2031, 2074, 1995, 1987, 2008]",Northern Ireland
"[2050, 2031, 2074, 1979, 2011, 2014]",Northern Ireland
"[2050, 2031, 2074, 1979, 2076, 2004]",Northern Ireland
"[2050, 2031, 2074, 1991, 2014, 1987]",Northern Ireland
"[2050, 2031, 2057, 2020, 1979, 2011]",Northern Ireland
"[2050, 2031, 2057, 2020, 1991, 1987]",Northern Ireland
"[2050, 2031, 2057, 2026, 1978, 2011]",Northern Ireland
"[2050, 2031, 2057, 2026, 1990, 1987]",Northern Ireland
"[2050, 2031, 2057, 2026, 2006, 1980]",Northern Ireland
"[2050, 2031, 2072, 1980, 2017, 2010]",Northern Ireland
"[2050, 2031, 2072, 1980, 2026, 2004]",Northern Ireland
"[2050, 2031, 2072, 1985, 1999, 2016]",Northern Ireland
"[2050, 2031, 2072, 1985, 1995, 2056]",Northern Ireland
"[2050, 2031, 2072, 1985, 2026, 1996]",Northern Ireland
"[2050, 2031, 2063, 2012, 1980, 2017]",Northern Ireland
"[2050, 2031, 2063, 2076, 1977, 2017]",Northern Ireland
"[2050, 2031, 2063, 2076, 1979, 2005]",Northern Ireland
"[2050, 2031, 2063, 2076, 1983, 1999]",Northern Ireland
"[2050, 2031, 2073, 2060, 1977, 2017]",Northern Ireland
