soln,region
"[2050, 2031, 2073, 2060, 1979, 2005]",Northern Ireland
"[2050, 2031, 2073, 2060, 1983, 1999]",Northern Ireland
"[2050, 2031, 2073, 2011, 1978, 2024]",Northern Ireland
"[2050, 2031, 2073, 2011, 1979, 2013]",Northern Ireland
"[2050, 2031, 2073, 1980, 2017, 2009]",Northern Ireland
"[2050, 2031, 2073, 1980, 2024, 2006]",Northern Ireland
"[2050, 2031, 2073, 1985, 2015, 1999]",Northern Ireland
"[2050, 2031, 2073, 1985, 2055, 1995]",Northern Ireland
"[2050, 2031, 2073, 1987, 1999, 2004]",Northern Ireland
"[2050, 2031, 2073, 1987, 2017, 1992]",Northern Ireland
"[2050, 2031, 2073, 1987, 1995, 2007]",Northern Ireland
"[2050, 2031, 2073, 1987, 2024, 1990]",Northern Ireland
"[2050, 2031, 2073, 1987, 1991, 2013]",Northern Ireland
"[2050, 2032, 1998, 2072, 1985, 2016]",Northern Ireland
"[2050, 2032, 1998, 2063, 1983, 2076]",Northern Ireland
"[2050, 2032, 1998, 2073, 2004, 1987]",Northern Ireland
"[2050, 2032, 1998, 2073, 2015, 1985]",Northern Ireland
"[2050, 2032, 1998, 2073, 1983, 2060]",Northern Ireland
"[2050, 2021, 2069, 2011, 1978, 2054]",Northern Ireland
"[2050, 2021, 2069, 2011, 1981, 2014]",Northern Ireland
"[2050, 2021, 2069, 1980, 2005, 2058]",Northern Ireland
"[2050, 2021, 2069, 1980, 2054, 2006]",Northern Ireland
"[2050, 2021, 2069, 1980, 2013, 2012]",Northern Ireland
"[2050, 2021, 2069, 2076, 1984, 1997]",Northern Ireland
"[2050, 2021, 2069, 2076, 1977, 2013]",Northern Ireland
"[2050, 2021, 2069, 2076, 1978, 2007]",Northern Ireland
"[2050, 2021, 2069, 2076, 1983, 2000]",Northern Ireland
"[2050, 2021, 2069, 2076, 1981, 2004]",Northern Ireland
"[2050, 2021, 2069, 1985, 1997, 2058]",Northern Ireland
"[2050, 2021, 2069, 1987, 2014, 1993]",Northern Ireland
"[2050, 2021, 2069, 1987, 2008, 1997]",Northern Ireland
"[2050, 2021, 2069, 1987, 2054, 1990]",Northern Ireland
"[2050, 2021, 2057, 2067, 1978, 2011]",Northern Ireland
"[2050, 2021, 2057, 2067, 1990, 1987]",Northern Ireland
"[2050, 2021, 2057, 2067, 2006, 1980]",Northern Ireland
"[2050, 2021, 2072, 1980, 2004, 2067]",Northern Ireland
"[2050, 2021, 2072, 1980, 2005, 2062]",Northern Ireland
"[2050, 2021, 2072, 1980, 2010, 2018]",Northern Ireland
"[2050, 2021, 2072, 1985, 2001, 2016]",Northern Ireland
"[2050, 2021, 2072, 1985, 1997, 2062]",Northern Ireland
"[2050, 2021, 2072, 1985, 1996, 2067]",Northern Ireland
"[2050, 2021, 2063, 2001, 1983, 2076]",Northern Ireland
"[2050, 2021, 2063, 2018, 2012, 1980]",Northern Ireland
"[2050, 2021, 2063, 2018, 2076, 1977]",Northern Ireland
"[2050, 2021, 2073, 2001, 2004, 1987]",Northern Ireland
"[2050, 2021, 2073, 2001, 2015, 1985]",Northern Ireland
"[2050, 2021, 2073, 2001, 1983, 2060]",Northern Ireland
"[2050, 2021, 2073, 2018, 1977, 2060]",Northern Ireland
"[2050, 2021, 2073, 2018, 1980, 2009]",Northern Ireland
"[2050, 2021, 2073, 2018, 1992, 1987]",Northern Ireland
"[2050, 2021, 2073, 2052, 1978, 2011]",Northern Ireland
"[2050, 2021, 2073, 2052, 1990, 1987]",Northern Ireland
"[2050, 2021, 2073, 2052, 2006, 1980]",Northern Ireland
"[2050, 2035, 1995, 2062, 2072, 1985]",Northern Ireland
"[2050, 2035, 1995, 2069, 2076, 1984]",Northern Ireland
"[2050, 2035, 1995, 2069, 1985, 2058]",Northern Ireland
"[2050, 2035, 1995, 2069, 1987, 2008]",Northern Ireland
"[2050, 2035, 1979, 2069, 2011, 2014]",Northern Ireland
"[2050, 2035, 1979, 2069, 2076, 2004]",Northern Ireland
"[2050, 2035, 1991, 1987, 2014, 2069]",Northern Ireland
"[2029, 2060, 1977, 2020, 2022, 2043]",Northern Ireland
"[2029, 2060, 1977, 2017, 2065, 2043]",Northern Ireland
"[2029, 2060, 1977, 2017, 2039, 2073]",Northern Ireland
"[2029, 2060, 1979, 2005, 2065, 2043]",Northern Ireland
"[2029, 2060, 1979, 2005, 2039, 2073]",Northern Ireland
"[2029, 2060, 1983, 1998, 2040, 2073]",Northern Ireland
"[2029, 2060, 1983, 1998, 2067, 2043]",Northern Ireland
"[2029, 2060, 1983, 1998, 2077, 2038]",Northern Ireland
"[2029, 2060, 1983, 1999, 2065, 2043]",Northern Ireland
"[2029, 2060, 1983, 1999, 2039, 2073]",Northern Ireland
"[2029, 2060, 1983, 2003, 2022, 2043]",Northern Ireland
"[2029, 2011, 1978, 2022, 2043, 2056]",Northern Ireland
"[2029, 2011, 1978, 2022, 2044, 2054]",Northern Ireland
"[2029, 2011, 1978, 2022, 2047, 2057]",Northern Ireland
"[2029, 2011, 1978, 2023, 2059, 2038]",Northern Ireland
"[2029, 2011, 1978, 2023, 2062, 2043]",Northern Ireland
"[2029, 2011, 1978, 2023, 2057, 2041]",Northern Ireland
"[2029, 2011, 1978, 2024, 2065, 2043]",Northern Ireland
"[2029, 2011, 1978, 2024, 2039, 2073]",Northern Ireland
"[2029, 2011, 1978, 2026, 2057, 2039]",Northern Ireland
"[2029, 2011, 1979, 2020, 2057, 2039]",Northern Ireland
"[2029, 2011, 1979, 2014, 2038, 2075]",Northern Ireland
"[2029, 2011, 1979, 2014, 2044, 2064]",Northern Ireland
"[2029, 2011, 1979, 2014, 2074, 2039]",Northern Ireland
"[2029, 2011, 1979, 2019, 2059, 2038]",Northern Ireland
"[2029, 2011, 1979, 2019, 2062, 2043]",Northern Ireland
"[2029, 2011, 1979, 2019, 2057, 2041]",Northern Ireland
"[2029, 2011, 1979, 2016, 2043, 2064]",Northern Ireland
"[2029, 2011, 1979, 2013, 2065, 2043]",Northern Ireland
"[2029, 2011, 1979, 2013, 2039, 2073]",Northern Ireland
"[2029, 2011, 1981, 2022, 2014, 2044]",Northern Ireland
"[2029, 2011, 1981, 2022, 2016, 2043]",Northern Ireland
"[2029, 1980, 2022, 2043, 2061, 2005]",Northern Ireland
"[2029, 1980, 2022, 2043, 2009, 2020]",Northern Ireland
"[2029, 1980, 2022, 2043, 2006, 2056]",Northern Ireland
"[2029, 1980, 2022, 2046, 2072, 2005]",Northern Ireland
"[2029, 1980, 2022, 2044, 2005, 2058]",Northern Ireland
"[2029, 1980, 2022, 2044, 2054, 2006]",Northern Ireland
"[2029, 1980, 2022, 2044, 2013, 2012]",Northern Ireland
"[2029, 1980, 2022, 2047, 2057, 2006]",Northern Ireland
"[2029, 1980, 2022, 2047, 2072, 2004]",Northern Ireland
"[2029, 1980, 2017, 2065, 2043, 2009]",Northern Ireland
"[2029, 1980, 2017, 2039, 2010, 2072]",Northern Ireland
"[2029, 1980, 2017, 2039, 2012, 2063]",Northern Ireland
"[2029, 1980, 2017, 2039, 2009, 2073]",Northern Ireland
"[2029, 1980, 2023, 2004, 2078, 2038]",Northern Ireland
"[2029, 1980, 2023, 2004, 2072, 2041]",Northern Ireland
"[2029, 1980, 2023, 2006, 2059, 2038]",Northern Ireland
"[2029, 1980, 2023, 2006, 2062, 2043]",Northern Ireland
"[2029, 1980, 2023, 2006, 2057, 2041]",Northern Ireland
"[2029, 1980, 2023, 2016, 2012, 2038]",Northern Ireland
"[2029, 1980, 2024, 2006, 2065, 2043]",Northern Ireland
"[2029, 1980, 2024, 2006, 2039, 2073]",Northern Ireland
"[2029, 1980, 2026, 2039, 2057, 2006]",Northern Ireland
"[2029, 1980, 2026, 2039, 2072, 2004]",Northern Ireland
"[2029, 2076, 2038, 1984, 2020, 1998]",Northern Ireland
"[2029, 2076, 2038, 1984, 2075, 1995]",Northern Ireland
"[2029, 2076, 2038, 1977, 2023, 2016]",Northern Ireland
"[2029, 2076, 2038, 1978, 2010, 2023]",Northern Ireland
"[2029, 2076, 2038, 1979, 2019, 2010]",Northern Ireland
"[2029, 2076, 2038, 1979, 2075, 2004]",Northern Ireland
"[2029, 2076, 2038, 1983, 2056, 1998]",Northern Ireland
"[2029, 2076, 2044, 1984, 1997, 2022]",Northern Ireland
"[2029, 2076, 2044, 1984, 2018, 1998]",Northern Ireland
"[2029, 2076, 2044, 1984, 1995, 2064]",Northern Ireland
"[2029, 2076, 2044, 1977, 2013, 2022]",Northern Ireland
"[2029, 2076, 2044, 1978, 2007, 2022]",Northern Ireland
"[2029, 2076, 2044, 1979, 2004, 2064]",Northern Ireland
"[2029, 2076, 2044, 1983, 2000, 2022]",Northern Ireland
"[2029, 2076, 2044, 1983, 2052, 1998]",Northern Ireland
"[2029, 2076, 2044, 1981, 2004, 2022]",Northern Ireland
"[2029, 2076, 2074, 2039, 1995, 1984]",Northern Ireland
"[2029, 2076, 2074, 2039, 1979, 2004]",Northern Ireland
"[2029, 2076, 2063, 2040, 1998, 1983]",Northern Ireland
"[2029, 2076, 2063, 2039, 1977, 2017]",Northern Ireland
"[2029, 2076, 2063, 2039, 1979, 2005]",Northern Ireland
"[2029, 2076, 2063, 2039, 1983, 1999]",Northern Ireland
"[2029, 1985, 2015, 1998, 2040, 2073]",Northern Ireland
"[2029, 1985, 2015, 1998, 2067, 2043]",Northern Ireland
"[2029, 1985, 2015, 1998, 2077, 2038]",Northern Ireland
"[2029, 1985, 2015, 1999, 2065, 2043]",Northern Ireland
"[2029, 1985, 2015, 1999, 2039, 2073]",Northern Ireland
"[2029, 1985, 2015, 2003, 2022, 2043]",Northern Ireland
"[2029, 1985, 2078, 2038, 2053, 1995]",Northern Ireland
"[2029, 1985, 2078, 2038, 1996, 2023]",Northern Ireland
"[2029, 1985, 2078, 2038, 2013, 1998]",Northern Ireland
"[2029, 1985, 2061, 2043, 1997, 2022]",Northern Ireland
"[2029, 1985, 2061, 2043, 2018, 1998]",Northern Ireland
"[2029, 1985, 2061, 2043, 1995, 2064]",Northern Ireland
"[2029, 1985, 2055, 1995, 2065, 2043]",Northern Ireland
"[2029, 1985, 2055, 1995, 2039, 2073]",Northern Ireland
"[2029, 1985, 2072, 2041, 2053, 1995]",Northern Ireland
"[2029, 1985, 2072, 2041, 1996, 2023]",Northern Ireland
"[2029, 1985, 2072, 2041, 2013, 1998]",Northern Ireland
"[2029, 1985, 2072, 2046, 1997, 2022]",Northern Ireland
"[2029, 1985, 2072, 2046, 2018, 1998]",Northern Ireland
"[2029, 1985, 2072, 2046, 1995, 2064]",Northern Ireland
"[2029, 1985, 2072, 2040, 1998, 2016]",Northern Ireland
"[2029, 1985, 2072, 2047, 1996, 2022]",Northern Ireland
"[2029, 1985, 2072, 2039, 1999, 2016]",Northern Ireland
"[2029, 1985, 2072, 2039, 1995, 2056]",Northern Ireland
"[2029, 1985, 2072, 2039, 2026, 1996]",Northern Ireland
"[2029, 1985, 2058, 2038, 2020, 1998]",Northern Ireland
"[2029, 1985, 2058, 2038, 2075, 1995]",Northern Ireland
"[2029, 1985, 2058, 2044, 1997, 2022]",Northern Ireland
"[2029, 1985, 2058, 2044, 2018, 1998]",Northern Ireland
"[2029, 1985, 2058, 2044, 1995, 2064]",Northern Ireland
"[2029, 1985, 2058, 2074, 1995, 2039]",Northern Ireland
"[2029, 1987, 2043, 2004, 1998, 2067]",Northern Ireland
"[2029, 1987, 2043, 2004, 1999, 2065]",Northern Ireland
"[2029, 1987, 2043, 2004, 2003, 2022]",Northern Ireland
"[2029, 1987, 2043, 2005, 1998, 2062]",Northern Ireland
"[2029, 1987, 2043, 2010, 1997, 2022]",Northern Ireland
"[2029, 1987, 2043, 2010, 2018, 1998]",Northern Ireland
"[2029, 1987, 2043, 2010, 1995, 2064]",Northern Ireland
"[2029, 1987, 2043, 1993, 2016, 2022]",Northern Ireland
"[2029, 1987, 2043, 2007, 1995, 2065]",Northern Ireland
"[2029, 1987, 2043, 1990, 2022, 2056]",Northern Ireland
"[2029, 1987, 2043, 1990, 2023, 2062]",Northern Ireland
"[2029, 1987, 2043, 1990, 2024, 2065]",Northern Ireland
"[2029, 1987, 2043, 1992, 2020, 2022]",Northern Ireland
"[2029, 1987, 2043, 1992, 2017, 2065]",Northern Ireland
"[2029, 1987, 2043, 1991, 2019, 2062]",Northern Ireland
"[2029, 1987, 2043, 1991, 2016, 2064]",Northern Ireland
"[2029, 1987, 2043, 1991, 2013, 2065]",Northern Ireland
"[2029, 1987, 2038, 2059, 2005, 1998]",Northern Ireland
"[2029, 1987, 2038, 2059, 1990, 2023]",Northern Ireland
"[2029, 1987, 2038, 2059, 1991, 2019]",Northern Ireland
"[2029, 1987, 2038, 2014, 1991, 2075]",Northern Ireland
"[2029, 1987, 2038, 2008, 2020, 1998]",Northern Ireland
"[2029, 1987, 2038, 2008, 2075, 1995]",Northern Ireland
"[2029, 1987, 2038, 2077, 1998, 2004]",Northern Ireland
"[2029, 1987, 2044, 2014, 1993, 2022]",Northern Ireland
"[2029, 1987, 2044, 2014, 1991, 2064]",Northern Ireland
"[2029, 1987, 2044, 2008, 1997, 2022]",Northern Ireland
"[2029, 1987, 2044, 2008, 2018, 1998]",Northern Ireland
"[2029, 1987, 2044, 2008, 1995, 2064]",Northern Ireland
"[2029, 1987, 2044, 2054, 2022, 1990]",Northern Ireland
"[2029, 1987, 2074, 2039, 1995, 2008]",Northern Ireland
"[2029, 1987, 2074, 2039, 1991, 2014]",Northern Ireland
"[2029, 1987, 2057, 2005, 1998, 2041]",Northern Ireland
"[2029, 1987, 2057, 1990, 2022, 2047]",Northern Ireland
"[2029, 1987, 2057, 1990, 2023, 2041]",Northern Ireland
"[2029, 1987, 2057, 1990, 2026, 2039]",Northern Ireland
"[2029, 1987, 2057, 1991, 2020, 2039]",Northern Ireland
"[2029, 1987, 2057, 1991, 2019, 2041]",Northern Ireland
"[2029, 1987, 2073, 2040, 1998, 2004]",Northern Ireland
"[2029, 1987, 2073, 2039, 1999, 2004]",Northern Ireland
"[2029, 1987, 2073, 2039, 2017, 1992]",Northern Ireland
"[2029, 1987, 2073, 2039, 1995, 2007]",Northern Ireland
"[2029, 1987, 2073, 2039, 2024, 1990]",Northern Ireland
"[2029, 1987, 2073, 2039, 1991, 2013]",Northern Ireland
"[2028, 2045, 2060, 2070, 1977, 2017]",Northern Ireland
"[2028, 2045, 2060, 2070, 1979, 2005]",Northern Ireland
"[2028, 2045, 2060, 2070, 1983, 1999]",Northern Ireland
"[2028, 2045, 2011, 1978, 2025, 2059]",Northern Ireland
"[2028, 2045, 2011, 1978, 2024, 2070]",Northern Ireland
"[2028, 2045, 2011, 1979, 2014, 2067]",Northern Ireland
"[2028, 2045, 2011, 1979, 2018, 2059]",Northern Ireland
"[2028, 2045, 2011, 1979, 2013, 2070]",Northern Ireland
"[2028, 2045, 1980, 2017, 2062, 2012]",Northern Ireland
"[2028, 2045, 1980, 2017, 2070, 2009]",Northern Ireland
"[2028, 2045, 1980, 2025, 2004, 2078]",Northern Ireland
"[2028, 2045, 1980, 2025, 2006, 2059]",Northern Ireland
"[2028, 2045, 1980, 2025, 2016, 2012]",Northern Ireland
"[2028, 2045, 1980, 2024, 2006, 2070]",Northern Ireland
"[2028, 2045, 2076, 1984, 2067, 1995]",Northern Ireland
"[2028, 2045, 2076, 1977, 2017, 2062]",Northern Ireland
"[2028, 2045, 2076, 1977, 2025, 2016]",Northern Ireland
"[2028, 2045, 2076, 1978, 2010, 2025]",Northern Ireland
"[2028, 2045, 2076, 1979, 2004, 2067]",Northern Ireland
"[2028, 2045, 2076, 1979, 2005, 2062]",Northern Ireland
"[2028, 2045, 2076, 1979, 2010, 2018]",Northern Ireland
"[2028, 2045, 2076, 1983, 1999, 2062]",Northern Ireland
"[2028, 2045, 1985, 2015, 2070, 1999]",Northern Ireland
"[2028, 2045, 1985, 2078, 2025, 1996]",Northern Ireland
"[2028, 2045, 1985, 2078, 2052, 1995]",Northern Ireland
"[2028, 2045, 1985, 2055, 1995, 2070]",Northern Ireland
"[2028, 2045, 1985, 2058, 2067, 1995]",Northern Ireland
"[2028, 2045, 1987, 2059, 2018, 1991]",Northern Ireland
"[2028, 2045, 1987, 2059, 2025, 1990]",Northern Ireland
"[2028, 2045, 1987, 2014, 1991, 2067]",Northern Ireland
"[2028, 2045, 1987, 2008, 2067, 1995]",Northern Ireland
"[2028, 2045, 1987, 2070, 1999, 2004]",Northern Ireland
"[2028, 2045, 1987, 2070, 2017, 1992]",Northern Ireland
"[2028, 2045, 1987, 2070, 1995, 2007]",Northern Ireland
"[2028, 2045, 1987, 2070, 2024, 1990]",Northern Ireland
"[2028, 2045, 1987, 2070, 1991, 2013]",Northern Ireland
"[2028, 2049, 2057, 2018, 1979, 2011]",Northern Ireland
"[2028, 2049, 2057, 2018, 1991, 1987]",Northern Ireland
"[2028, 2049, 2057, 2025, 1978, 2011]",Northern Ireland
"[2028, 2049, 2057, 2025, 1990, 1987]",Northern Ireland
"[2028, 2049, 2057, 2025, 2006, 1980]",Northern Ireland
"[2028, 2049, 2072, 1980, 2004, 2025]",Northern Ireland
"[2028, 2049, 2072, 1985, 2025, 1996]",Northern Ireland
"[2028, 2049, 2072, 1985, 2052, 1995]",Northern Ireland
"[2028, 2068, 1995, 2043, 2010, 1987]",Northern Ireland
"[2028, 2068, 1995, 2043, 2061, 1985]",Northern Ireland
"[2028, 2068, 1995, 2046, 2072, 1985]",Northern Ireland
"[2028, 2068, 1995, 2044, 2076, 1984]",Northern Ireland
"[2028, 2068, 1995, 2044, 1985, 2058]",Northern Ireland
"[2028, 2068, 1995, 2044, 1987, 2008]",Northern Ireland
"[2028, 2068, 1979, 2011, 2014, 2044]",Northern Ireland
"[2028, 2068, 1979, 2011, 2016, 2043]",Northern Ireland
"[2028, 2068, 1979, 2076, 2004, 2044]",Northern Ireland
"[2028, 2068, 1991, 1987, 2014, 2044]",Northern Ireland
"[2028, 2068, 1991, 1987, 2016, 2043]",Northern Ireland
"[2028, 2042, 2074, 1995, 2076, 1984]",Northern Ireland
"[2028, 2042, 2074, 1995, 1985, 2058]",Northern Ireland
"[2028, 2042, 2074, 1995, 1987, 2008]",Northern Ireland
"[2028, 2042, 2074, 1979, 2011, 2014]",Northern Ireland
"[2028, 2042, 2074, 1979, 2076, 2004]",Northern Ireland
"[2028, 2042, 2074, 1991, 2014, 1987]",Northern Ireland
"[2028, 2042, 2057, 2020, 1979, 2011]",Northern Ireland
"[2028, 2042, 2057, 2020, 1991, 1987]",Northern Ireland
"[2028, 2042, 2057, 2026, 1978, 2011]",Northern Ireland
"[2028, 2042, 2057, 2026, 1990, 1987]",Northern Ireland
"[2028, 2042, 2057, 2026, 2006, 1980]",Northern Ireland
"[2028, 2042, 2072, 1980, 2017, 2010]",Northern Ireland
"[2028, 2042, 2072, 1980, 2026, 2004]",Northern Ireland
"[2028, 2042, 2072, 1985, 1999, 2016]",Northern Ireland
"[2028, 2042, 2072, 1985, 1995, 2056]",Northern Ireland
"[2028, 2042, 2072, 1985, 2026, 1996]",Northern Ireland
"[2028, 2042, 2063, 2012, 1980, 2017]",Northern Ireland
"[2028, 2042, 2063, 2076, 1977, 2017]",Northern Ireland
"[2028, 2042, 2063, 2076, 1979, 2005]",Northern Ireland
"[2028, 2042, 2063, 2076, 1983, 1999]",Northern Ireland
"[2028, 2042, 2073, 2060, 1977, 2017]",Northern Ireland
"[2028, 2042, 2073, 2060, 1979, 2005]",Northern Ireland
"[2028, 2042, 2073, 2060, 1983, 1999]",Northern Ireland
"[2028, 2042, 2073, 2011, 1978, 2024]",Northern Ireland
"[2028, 2042, 2073, 2011, 1979, 2013]",Northern Ireland
"[2028, 2042, 2073, 1980, 2017, 2009]",Northern Ireland
"[2028, 2042, 2073, 1980, 2024, 2006]",Northern Ireland
"[2028, 2042, 2073, 1985, 2015, 1999]",Northern Ireland
"[2028, 2042, 2073, 1985, 2055, 1995]",Northern Ireland
"[2028, 2042, 2073, 1987, 1999, 2004]",Northern Ireland
"[2028, 2042, 2073, 1987, 2017, 1992]",Northern Ireland
"[2028, 2042, 2073, 1987, 1995, 2007]",Northern Ireland
"[2028, 2042, 2073, 1987, 2024, 1990]",Northern Ireland
"[2028, 2042, 2073, 1987, 1991, 2013]",Northern Ireland
"[2028, 2071, 2043, 2060, 1977, 2017]",Northern Ireland
"[2028, 2071, 2043, 2060, 1979, 2005]",Northern Ireland
"[2028, 2071, 2043, 2060, 1983, 1999]",Northern Ireland
"[2028, 2071, 2043, 2011, 1978, 2024]",Northern Ireland
"[2028, 2071, 2043, 2011, 1979, 2013]",Northern Ireland
"[2028, 2071, 2043, 1980, 2017, 2009]",Northern Ireland
"[2028, 2071, 2043, 1980, 2024, 2006]",Northern Ireland
"[2028, 2071, 2043, 1985, 2015, 1999]",Northern Ireland
"[2028, 2071, 2043, 1985, 2055, 1995]",Northern Ireland
"[2028, 2071, 2043, 1987, 1999, 2004]",Northern Ireland
"[2028, 2071, 2043, 1987, 2017, 1992]",Northern Ireland
"[2028, 2071, 2043, 1987, 1995, 2007]",Northern Ireland
"[2028, 2071, 2043, 1987, 2024, 1990]",Northern Ireland
"[2028, 2071, 2043, 1987, 1991, 2013]",Northern Ireland
"[2051, 2021, 2043, 2060, 2020, 1977]",Northern Ireland
"[2051, 2021, 2043, 2060, 2003, 1983]",Northern Ireland
"[2051, 2021, 2043, 2011, 1978, 2056]",Northern Ireland
"[2051, 2021, 2043, 2011, 1981, 2016]",Northern Ireland
"[2051, 2021, 2043, 1980, 2061, 2005]",Northern Ireland
"[2051, 2021, 2043, 1980, 2009, 2020]",Northern Ireland
"[2051, 2021, 2043, 1980, 2006, 2056]",Northern Ireland
"[2051, 2021, 2043, 1985, 2015, 2003]",Northern Ireland
"[2051, 2021, 2043, 1985, 2061, 1997]",Northern Ireland
"[2051, 2021, 2043, 1987, 2020, 1992]",Northern Ireland
"[2051, 2021, 2043, 1987, 2056, 1990]",Northern Ireland
"[2051, 2021, 2043, 1987, 2010, 1997]",Northern Ireland
"[2051, 2021, 2043, 1987, 2016, 1993]",Northern Ireland
"[2051, 2021, 2043, 1987, 2003, 2004]",Northern Ireland
"[2051, 2021, 2046, 2072, 1980, 2005]",Northern Ireland
"[2051, 2021, 2046, 2072, 1985, 1997]",Northern Ireland
"[2051, 2021, 2044, 2011, 1978, 2054]",Northern Ireland
"[2051, 2021, 2044, 2011, 1981, 2014]",Northern Ireland
"[2051, 2021, 2044, 1980, 2005, 2058]",Northern Ireland
"[2051, 2021, 2044, 1980, 2054, 2006]",Northern Ireland
"[2051, 2021, 2044, 1980, 2013, 2012]",Northern Ireland
"[2051, 2021, 2044, 2076, 1984, 1997]",Northern Ireland
"[2051, 2021, 2044, 2076, 1977, 2013]",Northern Ireland
"[2051, 2021, 2044, 2076, 1978, 2007]",Northern Ireland
"[2051, 2021, 2044, 2076, 1983, 2000]",Northern Ireland
"[2051, 2021, 2044, 2076, 1981, 2004]",Northern Ireland
"[2051, 2021, 2044, 1985, 1997, 2058]",Northern Ireland
"[2051, 2021, 2044, 1987, 2014, 1993]",Northern Ireland
"[2051, 2021, 2044, 1987, 2008, 1997]",Northern Ireland
"[2051, 2021, 2044, 1987, 2054, 1990]",Northern Ireland
"[2051, 2021, 2047, 2057, 1978, 2011]",Northern Ireland
"[2051, 2021, 2047, 2057, 1990, 1987]",Northern Ireland
"[2051, 2021, 2047, 2057, 2006, 1980]",Northern Ireland
"[2051, 2021, 2047, 2072, 1980, 2004]",Northern Ireland
"[2051, 2021, 2047, 2072, 1985, 1996]",Northern Ireland
"[2051, 2035, 1995, 2043, 2010, 1987]",Northern Ireland
"[2051, 2035, 1995, 2043, 2061, 1985]",Northern Ireland
"[2051, 2035, 1995, 2046, 2072, 1985]",Northern Ireland
"[2051, 2035, 1995, 2044, 2076, 1984]",Northern Ireland
"[2051, 2035, 1995, 2044, 1985, 2058]",Northern Ireland
"[2051, 2035, 1995, 2044, 1987, 2008]",Northern Ireland
"[2051, 2035, 1979, 2011, 2014, 2044]",Northern Ireland
"[2051, 2035, 1979, 2011, 2016, 2043]",Northern Ireland
"[2051, 2035, 1979, 2076, 2004, 2044]",Northern Ireland
"[2051, 2035, 1991, 1987, 2014, 2044]",Northern Ireland
"[2051, 2035, 1991, 1987, 2016, 2043]",Northern Ireland
"[2027, 2045, 1998, 2060, 1983, 2077]",Northern Ireland
"[2027, 2045, 1998, 2076, 1984, 2020]",Northern Ireland
"[2027, 2045, 1998, 2076, 1983, 2056]",Northern Ireland
"[2027, 2045, 1998, 1985, 2020, 2058]",Northern Ireland
"[2027, 2045, 1998, 1985, 2015, 2077]",Northern Ireland
"[2027, 2045, 1998, 1985, 2013, 2078]",Northern Ireland
"[2027, 2045, 1998, 1987, 2004, 2077]",Northern Ireland
"[2027, 2045, 1998, 1987, 2005, 2059]",Northern Ireland
"[2027, 2045, 1998, 1987, 2008, 2020]",Northern Ireland
"[2027, 2045, 2019, 1979, 2011, 2059]",Northern Ireland
"[2027, 2045, 2019, 1979, 2076, 2010]",Northern Ireland
"[2027, 2045, 2019, 1991, 1987, 2059]",Northern Ireland
"[2027, 2045, 2075, 1995, 2076, 1984]",Northern Ireland
"[2027, 2045, 2075, 1995, 1985, 2058]",Northern Ireland
"[2027, 2045, 2075, 1995, 1987, 2008]",Northern Ireland
"[2027, 2045, 2075, 1979, 2011, 2014]",Northern Ireland
"[2027, 2045, 2075, 1979, 2076, 2004]",Northern Ireland
"[2027, 2045, 2075, 1991, 2014, 1987]",Northern Ireland
"[2027, 2045, 2053, 2078, 1985, 1995]",Northern Ireland
