pairing,Conservative,Labour,Liberal Democrat,Brexit party,Democratic Unionist Party,Sinn Fein,Social Democratic & Labour Party,Alliance,Ulster Unionist Party,Scottish National Party,Green,Plaid Cymru
99,3,1,0,0,0,0,0,0,0,0,0,0
100,3,1,0,0,0,0,0,0,0,0,0,0
101,3,0,1,0,0,0,0,0,0,0,0,0
102,3,1,0,0,0,0,0,0,0,0,0,0
103,3,1,0,0,0,0,0,0,0,0,0,0
104,3,1,0,0,0,0,0,0,0,0,0,0
105,3,1,0,0,0,0,0,0,0,0,0,0
106,3,1,0,0,0,0,0,0,0,0,0,0
107,3,1,0,0,0,0,0,0,0,0,0,0
108,3,1,0,0,0,0,0,0,0,0,0,0
109,3,1,0,0,0,0,0,0,0,0,0,0
110,3,1,0,0,0,0,0,0,0,0,0,0
111,3,1,0,0,0,0,0,0,0,0,0,0
112,3,1,0,0,0,0,0,0,0,0,0,0
113,3,1,0,0,0,0,0,0,0,0,0,0
114,3,1,0,0,0,0,0,0,0,0,0,0
115,3,1,0,0,0,0,0,0,0,0,0,0
116,3,0,1,0,0,0,0,0,0,0,0,0
117,3,1,0,0,0,0,0,0,0,0,0,0
118,3,0,1,0,0,0,0,0,0,0,0,0
119,3,0,1,0,0,0,0,0,0,0,0,0
120,3,1,0,0,0,0,0,0,0,0,0,0
121,3,1,0,0,0,0,0,0,0,0,0,0
122,3,1,0,0,0,0,0,0,0,0,0,0
123,4,0,0,0,0,0,0,0,0,0,0,0
124,4,0,0,0,0,0,0,0,0,0,0,0
125,3,1,0,0,0,0,0,0,0,0,0,0
126,4,0,0,0,0,0,0,0,0,0,0,0
127,3,1,0,0,0,0,0,0,0,0,0,0
128,3,1,0,0,0,0,0,0,0,0,0,0
129,3,1,0,0,0,0,0,0,0,0,0,0
130,3,1,0,0,0,0,0,0,0,0,0,0
131,3,1,0,0,0,0,0,0,0,0,0,0
132,4,0,0,0,0,0,0,0,0,0,0,0
133,3,1,0,0,0,0,0,0,0,0,0,0
134,3,0,1,0,0,0,0,0,0,0,0,0
