pairing,Conservative,Labour,Liberal Democrat,Democratic Unionist Party,Alliance,Social Democratic & Labour Party,Sinn Fein,Ulster Unionist Party,Scottish National Party,Green,Plaid Cymru,Brexit party
100,1,0,1,0,0,0,0,0,0,0,0,0
101,2,0,0,0,0,0,0,0,0,0,0,0
102,2,0,0,0,0,0,0,0,0,0,0,0
103,1,1,0,0,0,0,0,0,0,0,0,0
104,1,0,1,0,0,0,0,0,0,0,0,0
105,2,0,0,0,0,0,0,0,0,0,0,0
106,1,0,1,0,0,0,0,0,0,0,0,0
107,2,0,0,0,0,0,0,0,0,0,0,0
108,2,0,0,0,0,0,0,0,0,0,0,0
109,1,0,1,0,0,0,0,0,0,0,0,0
110,1,1,0,0,0,0,0,0,0,0,0,0
111,1,1,0,0,0,0,0,0,0,0,0,0
112,1,1,0,0,0,0,0,0,0,0,0,0
113,2,0,0,0,0,0,0,0,0,0,0,0
114,2,0,0,0,0,0,0,0,0,0,0,0
115,1,1,0,0,0,0,0,0,0,0,0,0
116,1,0,1,0,0,0,0,0,0,0,0,0
117,1,0,1,0,0,0,0,0,0,0,0,0
118,2,0,0,0,0,0,0,0,0,0,0,0
119,1,1,0,0,0,0,0,0,0,0,0,0
120,1,1,0,0,0,0,0,0,0,0,0,0
121,2,0,0,0,0,0,0,0,0,0,0,0
122,1,1,0,0,0,0,0,0,0,0,0,0
123,2,0,0,0,0,0,0,0,0,0,0,0
124,1,1,0,0,0,0,0,0,0,0,0,0
125,1,0,1,0,0,0,0,0,0,0,0,0
126,1,0,1,0,0,0,0,0,0,0,0,0
127,1,0,1,0,0,0,0,0,0,0,0,0
128,1,0,1,0,0,0,0,0,0,0,0,0
129,1,1,0,0,0,0,0,0,0,0,0,0
130,1,1,0,0,0,0,0,0,0,0,0,0
131,1,1,0,0,0,0,0,0,0,0,0,0
132,1,1,0,0,0,0,0,0,0,0,0,0
133,1,1,0,0,0,0,0,0,0,0,0,0
134,1,1,0,0,0,0,0,0,0,0,0,0
135,1,1,0,0,0,0,0,0,0,0,0,0
136,1,1,0,0,0,0,0,0,0,0,0,0
137,1,1,0,0,0,0,0,0,0,0,0,0
138,1,1,0,0,0,0,0,0,0,0,0,0
139,1,1,0,0,0,0,0,0,0,0,0,0
140,1,1,0,0,0,0,0,0,0,0,0,0
141,2,0,0,0,0,0,0,0,0,0,0,0
142,2,0,0,0,0,0,0,0,0,0,0,0
143,2,0,0,0,0,0,0,0,0,0,0,0
144,2,0,0,0,0,0,0,0,0,0,0,0
